Brewery ID,Brewer Name,City,State,Zip,Lat,Long
804,Brasserie de Silly S.A.,,,,,
805,Brasserie Du Bocq,,,,,
806,W.H. Brakspear & Sons plc,,,,,
807,George Bateman and Son Ltd. / Batemans Brewery,,,,,
811,Highland Brewing,,,,,
813,Les Brasseurs de Gayant,,,,,
815,Brutopia,,,,,
816,Granite Brewery & Restaurant,,,,,
818,Steelhead Brewing Co.,,,,,
819,Ross Valley Brewing Company,,,,,
821,Monte Carlo Casino Pub & Brewery,,,,,
822,East African Breweries Ltd (Kenya Breweries),,,,,
823,The Olde Burnside Brewing Company,,,,,
826,Brasserie de l'Abbaye du Val-Dieu,,,,,
827,Brouwerij De Bie / D'Hellekappelle,,,,,
829,Haines Brewing Company,,,,,
837,Golden Pacific Brewing Company,,,,,
841,Brasserie à Vapeur,,,,,
842,Antigua Brewery Ltd.,,,,,
843,Hatuey Brewery,,,,,
846,Compañía Cervecera de Puerto Rico,,,,,
848,Bristol Brewing Company,,,,,
849,Rogan Brewery,,,,,
850,Moon River Brewing Company,,,,,
853,Black Oak Brewing Co.,,,,,
855,McMenamins Mill Creek,,,,,
856,Northwest Brewwërks,,,,,
859,Snoqualmie Falls Brewing Company & Taproom,,,,,
860,The Vermont Pub & Brewery,,,,,
862,E.J. Phair Brewing Company,,,,,
866,Scotch Irish Brewing Company,,,,,
870,Moylan's Brewery,,,,,
871,Thurn Und Taxis Regensburg Gmbh Fürstliche Brauerei,,,,,
872,Lind Brewing Company,,,,,
874,"Oriental Brewery Co., Ltd",,,,,
877,River Horse Brewing Co.,,,,,
879,Backwoods Brewing,,,,,
881,Camo Brewing Company,,,,,
882,Beach Chalet Brewery and Restaurant,,,,,
883,Tunbridge Brewing,,,,,
885,Summit Station Restaurant & Brewery,,,,,
886,Gubernija Brewery,,,,,
889,Brouwerij Palm NV,,,,,
891,Hudson Valley Brewing Company,,,,,
892,Cold Spring Brewing Co.,,,,,
894,the Nils Oscar Company,,,,,
